Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Equity
IDC,2024,0,0.1062,0.2769,8846411,18800161,1996055,7207648
IDC,2025,0,0.0833,0.2338,8588150,23201491,1931791,8263031
KOS,2015,0,0.0017,0.0028,3858,278520,465,167085
KOS,2016,0,0.0395,0.0504,150576,519956,20536,407621
KOS,2017,0,0.0355,0.0590,407689,747138,26519,449140
KOS,2018,0,0.0263,0.0404,900018,1711132,45064,1116704
KOS,2019,0,0.0105,0.0176,1062828,1908703,20063,1136767
KOS,2020,1,0.0100,0.0189,1308626,2198472,21912,1158678
KOS,2021,1,0.0058,0.0100,1106568,3874815,22549,2263541
KOS,2022,0,0.0045,0.0096,1343460,4835564,21830,2285227
KOS,2023,0,0.0044,0.0092,1315815,4752985,21138,2306365
KOS,2024,0,0.0045,0.0094,1438927,4851309,21739,2318635
KOS,2025,0,0.0039,0.0082,1555288,4866349,19067,2337702
SZC,2015,0,0.0292,0.0565,155385,2131521,62320,1103312
SZC,2016,0,0.0242,0.0405,101363,1820810,44140,1089720
SZC,2017,0,0.0330,0.0650,219670,2201412,72703,1118180
SZC,2018,0,0.0377,0.0842,290230,2581010,97352,1156406
SZC,2019,0,0.0434,0.1122,329422,3089826,134129,1195935
SZC,2020,1,0.0421,0.1471,432981,4417746,186001,1264237
SZC,2021,1,0.0576,0.2208,713222,5616375,323629,1465585
SZC,2022,0,0.0312,0.1286,858889,6334996,197367,1534252
SZC,2023,0,0.0314,0.1260,817946,6961129,218873,1737315
SZC,2024,0,0.0367,0.0973,870683,8225800,302127,3105551
SZC,2025,0,0.0422,0.1077,1097946,8171471,344801,3202889
FIR,2015,0,0.0769,0.0995,3675,2587,199,2000
FIR,2016,0,0.1006,0.1125,9741,25208,2535,22535
FIR,2017,0,0.0621,0.1027,60760,245687,15249,148481
FIR,2018,0,0.1179,0.3413,176269,652463,76941,225440
FIR,2019,0,0.2051,0.2900,327863,450217,92324,318405
FIR,2020,1,0.0879,0.1323,176157,549608,48324,365373
FIR,2021,1,0.0627,0.0981,196415,633469,39745,405219
FIR,2022,0,0.0880,0.1586,384512,1302864,114590,722336
FIR,2023,0,0.0136,0.0257,169125,1402922,19087,741423
FIR,2024,0,0.0005,0.0008,123962,1339408,611,742033
FIR,2025,0,0.0016,0.0026,108263,1236558,1968,744000
